venue,matches_played,city,likely_country,country,how,confidence
Daren Sammy National Cricket Stadium,3,Gros Islet,West Indies,Saint Lucia,geo-only,medium
National Cricket Stadium,3,St George's,West Indies,Grenada,geo-miss,medium
Windsor Park,4,,West Indies,Dominica,geo-miss,medium
Old Hararians,4,Harare,West Indies,Zimbabwe,geo-only,medium
Kensington Oval,4,Bridgetown,West Indies,Barbados,geo-only,medium
Khan Shaheb Osman Ali Stadium,4,Narayanganj,Sri Lanka,Bangladesh,geo-miss,medium
Sportpark Westvliet,4,,Netherlands,The Netherlands,geo-only,medium
Himachal Pradesh Cricket Association Stadium,4,Dharamsala,India,India,geo-miss,medium
Himachal Pradesh Cricket Association Stadium,4,,New Zealand,India,geo-only,medium
Maple Leaf North-West Ground,4,King City,Canada,Canada,geo-miss,medium
Saurashtra Cricket Association Stadium,4,,India,India,geo-miss,medium
Madhavrao Scindia Cricket Ground,4,Rajkot,India,India,geo-miss,medium
Brian Lara Stadium,4,Tarouba,West Indies,Trinidad and Tobago,geo-miss,medium
Maharashtra Cricket Association Stadium,4,,Bangladesh,India,geo-only,medium
Royal Chiangmai Golf Club,4,Chiang Mai,Netherlands,Thailand,geo-only,medium
Queenstown Events Centre,5,Queenstown,New Zealand,New Zealand,geo-miss,medium
Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),5,Al Amerat,Papua New Guinea,Oman,geo-miss,medium
New Wanderers Stadium,5,,Australia,South Africa,geo-only,medium
Arun Jaitley Stadium,5,,Sri Lanka,India,geo-only,medium
Central Broward Regional Park Stadium Turf Ground,5,Lauderhill,Papua New Guinea,United States,geo-only,medium
St George's Park,5,Gqeberha,Australia,South Africa,geo-only,medium
Goodyear Park,5,,New Zealand,South Africa,geo-only,medium
Barsapara Cricket Stadium,6,,England,India,geo-only,medium
Eden Gardens,6,,Bangladesh,India,geo-only,medium
Bulawayo Athletic Club,6,Bulawayo,Oman,Zimbabwe,geo-only,medium
Central Broward Regional Park Stadium Turf Ground,6,,Oman,United States,geo-only,medium
Tribhuvan University International Cricket Ground,6,Kirtipur,Nepal,Nepal,geo-miss,medium
Grand Prairie Stadium,7,Grand Prairie,United States of America,United States,geo-only,medium
Providence Stadium,7,Georgetown,West Indies,Guyana,geo-only,medium
Coolidge Cricket Ground,7,,West Indies,Antigua and Barbuda,geo-miss,medium
Lahore City Cricket Association Ground,7,Lahore,Scotland,Pakistan,geo-only,medium
Sharjah Cricket Association Stadium,7,Sharjah,Zimbabwe,United Arab Emirates,geo-only,medium
Holkar Cricket Stadium,8,,Australia,India,geo-only,medium
Arnos Vale Ground,8,,West Indies,Saint Vincent and the Grenadines,geo-miss,medium
Warner Park,9,Basseterre,West Indies,Saint Kitts and Nevis,geo-only,medium
Takashinga Sports Club,9,Harare,United States of America,Zimbabwe,geo-only,medium
Moosa Cricket Stadium,10,,United States of America,United States,geo-only,medium
Zahur Ahmed Chowdhury Stadium,12,Chattogram,Bangladesh,Bangladesh,geo-miss,medium
Bay Oval,12,,New Zealand,New Zealand,geo-miss,medium
Grace Road,12,Leicester,Pakistan,England,geo-only,medium
National Cricket Stadium,12,,West Indies,Grenada,geo-miss,medium
M Chinnaswamy Stadium,12,Bengaluru,India,India,geo-miss,medium
Kensington Oval,13,Bridgetown,West Indies,Barbados,geo-only,medium
Sportpark Maarschalkerweerd,14,,Netherlands,The Netherlands,geo-only,medium
Sir Vivian Richards Stadium,14,North Sound,West Indies,Antigua and Barbuda,geo-miss,medium
Kinrara Academy Oval,14,Kuala Lumpur,Australia,Malaysia,geo-only,medium
Maple Leaf North-West Ground,14,,Canada,Canada,geo-miss,medium
Brabourne Stadium,16,Mumbai,West Indies,India,geo-only,medium
Bay Oval,16,Mount Maunganui,New Zealand,New Zealand,geo-miss,medium
Warner Park,18,,West Indies,Saint Kitts and Nevis,geo-miss,medium
Beausejour Stadium,18,,West Indies,Saint Lucia,geo-miss,medium
Sir Vivian Richards Stadium,18,,West Indies,Antigua and Barbuda,geo-miss,medium
VRA Ground,18,,Netherlands,The Netherlands,geo-only,medium
Kensington Oval,18,,West Indies,Barbados,geo-miss,medium
Sabina Park,19,,West Indies,Jamaica,geo-only,medium
St George's Park,20,Gqeberha,South Africa,South Africa,geo-miss,medium
Providence Stadium,21,Georgetown,West Indies,Guyana,geo-miss,medium
Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),28,Al Amerat,Oman,Oman,geo-miss,medium
Sharjah Cricket Stadium,32,Sharjah,Pakistan,United Arab Emirates,geo-only,medium
Sheikh Zayed Stadium,37,Abu Dhabi,Pakistan,United Arab Emirates,geo-only,medium
Tribhuvan University International Cricket Ground,40,,Nepal,Nepal,geo-miss,medium
Dubai International Cricket Stadium,59,Dubai,Pakistan,United Arab Emirates,geo-only,medium
Shere Bangla National Stadium,85,Dhaka,Bangladesh,Bangladesh,geo-miss,medium
